product.sku,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id
4088_01,18102.3622047,1.5,27,22990,0,1
5442_01,6291.33858268,1.5,27,7990,0,1
5950_01,5503.93700787,1.5,27,6990,1,1
1579_01,13377.9527559,1.5,27,16990,0,1
1579_02,13377.9527559,1.5,27,16990,0,1
1579_03,13377.9527559,1.5,27,16990,0,1
1579_04,13377.9527559,1.5,27,16990,0,1
1579_05,13377.9527559,1.5,27,16990,0,1
1579_06,13377.9527559,1.5,27,16990,0,1
1579_07,13377.9527559,1.5,27,16990,0,1
1579_08,13377.9527559,1.5,27,16990,0,1
1579_09,13377.9527559,1.5,27,16990,0,1
1579_10,13377.9527559,1.5,27,16990,0,1
1579_11,13377.9527559,1.5,27,16990,0,1
1579_12,13377.9527559,1.5,27,16990,0,1
1579_13,13377.9527559,1.5,27,16990,0,1
1579_14,13377.9527559,1.5,27,16990,0,1
1579_15,13377.9527559,1.5,27,16990,0,1
1579_16,13377.9527559,1.5,27,16990,0,1
1579_17,13377.9527559,1.5,27,16990,0,1
1579_18,13377.9527559,1.5,27,16990,0,1
1627_01,3929.13385827,1.5,27,4990,5,1
2637_01,3929.13385827,1.5,27,4990,6,1
2969_01,5503.93700787,1.5,27,6990,1,1
2969_02,5503.93700787,1.5,27,6990,0,1
2969_03,5503.93700787,1.5,27,6990,1,1
2969_04,5503.93700787,1.5,27,6990,1,1
3013_01,5503.93700787,1.5,27,6990,2,1
3013_02,5503.93700787,1.5,27,6990,0,1
3013_03,5503.93700787,1.5,27,6990,0,1
3013_04,5503.93700787,1.5,27,6990,0,1
3619_01,1173.22834646,1.5,27,1490,9,1
3619_02,1173.22834646,1.5,27,1490,9,1
3620_01,1173.22834646,1.5,27,1490,6,1
3620_02,1173.22834646,1.5,27,1490,6,1
3760_01,5503.93700787,1.5,27,6990,1,1
3760_02,5503.93700787,1.5,27,6990,2,1
3761_01,5503.93700787,1.5,27,6990,1,1
4411_01,3929.13385827,1.5,27,4990,0,1
4419_01,4716.53543307,1.5,27,5990,0,1
4430_01,2748.03149606,1.5,27,3490,0,1
4435_01,12590.5511811,1.5,27,15990,0,1
4435_02,12590.5511811,1.5,27,15990,0,1
4435_03,12590.5511811,1.5,27,15990,0,1
4435_04,12590.5511811,1.5,27,15990,0,1
4435_05,12590.5511811,1.5,27,15990,0,1
4435_06,12590.5511811,1.5,27,15990,1,1
4435_07,12590.5511811,1.5,27,15990,0,1
4435_08,12590.5511811,1.5,27,15990,0,1
4435_09,12590.5511811,1.5,27,15990,0,1
4435_10,12590.5511811,1.5,27,15990,0,1
4435_11,12590.5511811,1.5,27,15990,0,1
4435_12,12590.5511811,1.5,27,15990,0,1
4435_13,12590.5511811,1.5,27,15990,0,1
