product.sku,product.model,product.product_ring_id,product.status,product.sort_order,product.manufacturer_id,product_to_category.category_name,product.image,product.image_alt,product_image.image.1,product_image.image.2,product_image.image.3,product_image.image.4,product_image.image.5,product_image.image.6,product_image.image.7,product_image.image.8,product_image.image_alt.1,product_image.image_alt.2,product_image.image_alt.3,product_image.image_alt.4,product_image.image_alt.5,product_image.image_alt.6,product_image.image_alt.7,product_image.image_alt.8,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id,product.minimum,product.shipping,product.available,product.date_available,product_description.name.hu,product_description.quantity_name.hu,product_description.short_description.hu,product_description.description.hu,product_special.price.1,product.product_class_id,attr_values.meret.hu,attr_values.meret_ruha.hu,attr_values.szin.hu
3620_02,888366277935,3620_01,1,-3620,Vans,Kiegészítő ||| Zokni,product/2017/3620_1.jpg,Vans Classic Crew White,product/2017/3620_2.jpg,,,,,,,,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,Vans Classic Crew White,1173.22834646,1.5,27,1490,6,0,1,1,1,2018-01-31 12:10:29,Vans Classic Crew White,db,,,0,ruhazat,"","42,5-47","Feher"
3760_01,700053513518,,1,-3760,Vans,Kiegészítő ||| Öv;Outlet ||| Akciós kiegészítő,product/2017/3760_1.jpg,Vans Transparent Electric Grape,product/2017/3760_2.jpg,product/2017/3760_3.jpg,product/2017/3760_4.jpg,,,,,,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,5503.93700787,1.5,27,6990,1,0,1,1,1,2012-03-28 12:16:16,Vans Transparent Electric Grape,db,,,3141.73228346,ruhazat,"","M","Lila"
3760_02,700053513501,3760_01,1,-3760,Vans,Kiegészítő ||| Öv;Outlet ||| Akciós kiegészítő,product/2017/3760_1.jpg,Vans Transparent Electric Grape,product/2017/3760_2.jpg,product/2017/3760_3.jpg,product/2017/3760_4.jpg,,,,,,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,Vans Transparent Electric Grape,5503.93700787,1.5,27,6990,2,0,1,1,1,2012-03-28 12:16:16,Vans Transparent Electric Grape,db,,,3141.73228346,ruhazat,"","S","Lila"
3761_01,700053513570,,1,-3761,Vans,Kiegészítő ||| Öv;Outlet ||| Akciós kiegészítő,product/2017/3761_1.jpg,Vans Transparent Bright White,product/2017/3761_2.jpg,product/2017/3761_3.jpg,product/2017/3761_4.jpg,,,,,,Vans Transparent Bright White,Vans Transparent Bright White,Vans Transparent Bright White,Vans Transparent Bright White,Vans Transparent Bright White,Vans Transparent Bright White,Vans Transparent Bright White,Vans Transparent Bright White,5503.93700787,1.5,27,6990,1,0,1,1,1,2012-03-28 12:16:16,Vans Transparent Bright White,db,,,3141.73228346,ruhazat,"","S","Feher"
4435_06,700053289079,4435_01,1,-4435,Vans,Férfi cipő;Női cipő,product/2017/4435_1.jpg,Vans Authentic Navy,product/2017/4435_2.jpg,product/2017/4435_3.jpg,product/2017/4435_4.jpg,product/2017/4435_5.jpg,,,,,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,12590.5511811,1.5,27,15990,1,0,1,1,1,2016-03-30 19:19:44,Vans Authentic Navy,db,,,10070.8661417,cipo,"38,5","","Kék"
4435_14,700053289284,4435_01,1,-4435,Vans,Férfi cipő;Női cipő,product/2017/4435_1.jpg,Vans Authentic Navy,product/2017/4435_2.jpg,product/2017/4435_3.jpg,product/2017/4435_4.jpg,product/2017/4435_5.jpg,,,,,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,Vans Authentic Navy,12590.5511811,1.5,27,15990,1,0,1,1,1,2016-03-30 19:19:44,Vans Authentic Navy,db,,,10070.8661417,cipo,"44","","Kék"
4436_02,700053288652,4436_01,1,-4436,Vans,Férfi cipő;Női cipő,product/2017/4436_1.jpg,Vans Authentic Red,product/2017/4436_2.jpg,product/2017/4436_3.jpg,product/2017/4436_4.jpg,product/2017/4436_5.jpg,,,,,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,12590.5511811,1.5,27,15990,1,0,1,1,1,2016-02-17 11:47:05,Vans Authentic Red,db,,,10070.8661417,cipo,"36","","Piros"
4436_15,700053288782,4436_01,1,-4436,Vans,Férfi cipő;Női cipő,product/2017/4436_1.jpg,Vans Authentic Red,product/2017/4436_2.jpg,product/2017/4436_3.jpg,product/2017/4436_4.jpg,product/2017/4436_5.jpg,,,,,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,12590.5511811,1.5,27,15990,3,0,1,1,1,2016-02-17 11:47:05,Vans Authentic Red,db,,,10070.8661417,cipo,"44,5","","Piros"
4436_16,700053288799,4436_01,1,-4436,Vans,Férfi cipő;Női cipő,product/2017/4436_1.jpg,Vans Authentic Red,product/2017/4436_2.jpg,product/2017/4436_3.jpg,product/2017/4436_4.jpg,product/2017/4436_5.jpg,,,,,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,Vans Authentic Red,12590.5511811,1.5,27,15990,3,0,1,1,1,2016-02-17 11:47:05,Vans Authentic Red,db,,,10070.8661417,cipo,"45","","Piros"
4437_17,700053288614,4437_01,1,-4437,Vans,Férfi cipő;Női cipő,product/2017/4437_1.jpg,Vans Authentic Black,product/2017/4437_2.jpg,product/2017/4437_3.jpg,product/2017/4437_4.jpg,product/2017/4437_5.jpg,,,,,Vans Authentic Black,Vans Authentic Black,Vans Authentic Black,Vans Authentic Black,Vans Authentic Black,Vans Authentic Black,Vans Authentic Black,Vans Authentic Black,12590.5511811,1.5,27,15990,1,0,1,1,1,2015-03-19 11:39:23,Vans Authentic Black,db,,,10070.8661417,cipo,"46","","Fekete"
4454_02,700053803749,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,1,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"36","","Fekete"
4454_08,700053803848,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,1,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"40","","Fekete"
4454_09,700053803855,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,2,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"40,5","","Fekete"
4454_10,700053803862,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,1,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"41","","Fekete"
4454_12,700053803923,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,2,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"42,5","","Fekete"
4454_13,700053803930,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,1,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"43","","Fekete"
4454_15,700053803954,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,5,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"44,5","","Fekete"
4454_16,700053803961,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,2,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"45","","Fekete"
4454_17,700053803978,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,1,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"46","","Fekete"
4454_18,700053803985,4454_01,1,-4454,Vans,Férfi cipő;Női cipő,product/2017/4454_1.jpg,Vans Old Skool Black/White,product/2017/4454_2.jpg,product/2017/4454_3.jpg,product/2017/4454_4.jpg,product/2017/4454_5.jpg,,,,,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,Vans Old Skool Black/White,14165.3543307,1.5,27,17990,1,0,1,1,1,2018-01-19 13:56:01,Vans Old Skool Black/White,db,,,0,cipo,"47","","Fekete"
4455_12,700053804241,4455_01,1,-4455,Vans,Férfi cipő;Női cipő,product/2017/4455_1.jpg,Vans Old Skool Navy,product/2017/4455_2.jpg,product/2017/4455_3.jpg,product/2017/4455_4.jpg,product/2017/4455_5.jpg,,,,,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,Vans Old Skool Navy,14165.3543307,1.5,27,17990,1,0,1,1,1,2017-06-26 11:55:43,Vans Old Skool Navy,db,,,0,cipo,"43","","Kék"
