product.sku,product.model,product.product_ring_id,product.status,product.sort_order,product.manufacturer_id,product_to_category.category_name,product.image,product.image_alt,product_image.image.1,product_image.image.2,product_image.image.3,product_image.image.4,product_image.image.5,product_image.image.6,product_image.image.7,product_image.image.8,product_image.image_alt.1,product_image.image_alt.2,product_image.image_alt.3,product_image.image_alt.4,product_image.image_alt.5,product_image.image_alt.6,product_image.image_alt.7,product_image.image_alt.8,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id,product.minimum,product.shipping,product.available,product.date_available,product_description.name.hu,product_description.quantity_name.hu,product_description.short_description.hu,product_description.description.hu,product_special.price.1,product.product_class_id,attr_values.meret.hu,attr_values.meret_ruha.hu,attr_values.szin.hu
1579_12,700053843141,1579_01,1,-1579,Vans,Férfi cipő;Női cipő,product/2017/1579_1.jpg,Vans Era Black,product/2017/1579_2.jpg,product/2017/1579_3.jpg,product/2017/1579_4.jpg,product/2017/1579_5.jpg,,,,,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,13377.9527559,1.5,27,16990,0,0,1,1,1,,Vans Era Black,db,,,0,cipo,"42,5","","Fekete"
1579_13,700053843158,1579_01,1,-1579,Vans,Férfi cipő;Női cipő,product/2017/1579_1.jpg,Vans Era Black,product/2017/1579_2.jpg,product/2017/1579_3.jpg,product/2017/1579_4.jpg,product/2017/1579_5.jpg,,,,,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,13377.9527559,1.5,27,16990,0,0,1,1,1,,Vans Era Black,db,,,0,cipo,"43","","Fekete"
1579_14,700053843165,1579_01,1,-1579,Vans,Férfi cipő;Női cipő,product/2017/1579_1.jpg,Vans Era Black,product/2017/1579_2.jpg,product/2017/1579_3.jpg,product/2017/1579_4.jpg,product/2017/1579_5.jpg,,,,,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,13377.9527559,1.5,27,16990,0,0,1,1,1,,Vans Era Black,db,,,0,cipo,"44","","Fekete"
1579_15,700053843172,1579_01,1,-1579,Vans,Férfi cipő;Női cipő,product/2017/1579_1.jpg,Vans Era Black,product/2017/1579_2.jpg,product/2017/1579_3.jpg,product/2017/1579_4.jpg,product/2017/1579_5.jpg,,,,,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,13377.9527559,1.5,27,16990,0,0,1,1,1,,Vans Era Black,db,,,0,cipo,"44,5","","Fekete"
1579_16,700053843189,1579_01,1,-1579,Vans,Férfi cipő;Női cipő,product/2017/1579_1.jpg,Vans Era Black,product/2017/1579_2.jpg,product/2017/1579_3.jpg,product/2017/1579_4.jpg,product/2017/1579_5.jpg,,,,,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,13377.9527559,1.5,27,16990,0,0,1,1,1,,Vans Era Black,db,,,0,cipo,"45","","Fekete"
1579_17,700053843196,1579_01,1,-1579,Vans,Férfi cipő;Női cipő,product/2017/1579_1.jpg,Vans Era Black,product/2017/1579_2.jpg,product/2017/1579_3.jpg,product/2017/1579_4.jpg,product/2017/1579_5.jpg,,,,,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,13377.9527559,1.5,27,16990,0,0,1,1,1,,Vans Era Black,db,,,0,cipo,"46","","Fekete"
1579_18,700053843202,1579_01,1,-1579,Vans,Férfi cipő;Női cipő,product/2017/1579_1.jpg,Vans Era Black,product/2017/1579_2.jpg,product/2017/1579_3.jpg,product/2017/1579_4.jpg,product/2017/1579_5.jpg,,,,,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,Vans Era Black,13377.9527559,1.5,27,16990,0,0,1,1,1,,Vans Era Black,db,,,0,cipo,"47","","Fekete"
2969_01,732075973551,,1,-2969,Vans,Férfi ruházat ||| Póló,product/2017/2969_1.jpg,Vans OTW Black/White,product/2017/2969_2.jpg,product/2017/2969_3.jpg,,,,,,,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,5503.93700787,1.5,27,6990,3,0,1,1,1,,Vans OTW Black/White,db,,,0,ruhazat,"","L","Fekete"
2969_02,732075973544,2969_01,1,-2969,Vans,Férfi ruházat ||| Póló,product/2017/2969_1.jpg,Vans OTW Black/White,product/2017/2969_2.jpg,product/2017/2969_3.jpg,,,,,,,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,5503.93700787,1.5,27,6990,3,0,1,1,1,,Vans OTW Black/White,db,,,0,ruhazat,"","M","Fekete"
2969_03,732075973537,2969_01,1,-2969,Vans,Férfi ruházat ||| Póló,product/2017/2969_1.jpg,Vans OTW Black/White,product/2017/2969_2.jpg,product/2017/2969_3.jpg,,,,,,,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,Vans OTW Black/White,5503.93700787,1.5,27,6990,3,0,1,1,1,,Vans OTW Black/White,db,,,0,ruhazat,"","S","Fekete"
