identifier,manufacturer,name,category,product_url,image_url,price,net_price,description,delivery_cost,delivery_time	
"7146", "Vans", "Old Skool Pro - (2-Tone) Madder Brown/Cinnabar", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool-pro/7146", "https://coreshop.hu/pictures/termekek/7/1/4/6/1_large.jpg", "20990", "16528", "Az Old Skool Pro a klasszikus Old Skool luxus változata. Extrák: UltraCush HD talpbetét a kényelemért, Duracap megerősítés a tartósságért. A felsőrész hasított bőr és textil kombinációja.", "ingyenes", "1 munkanap" 
"7145", "Vans", "Old Skool - (Suede) Teak/Black", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool/7145", "https://coreshop.hu/pictures/termekek/7/1/4/5/1_large.jpg", "20990", "16528", "Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak. Legyél Te is boldog Old Skool tulajdonos! Felsőrész anyaga: velúr bőr. ", "ingyenes", "1 munkanap" 
"7143", "Vans", "Old Skool - Winter Moss/True White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool/7143", "https://coreshop.hu/pictures/termekek/7/1/4/3/1_large.jpg", "19990", "15740", "Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak. Legyél Te is boldog Old Skool tulajdonos! Felsőrész anyaga: orr és sarok rész velúr bőr, oldalsó panel textil.", "ingyenes", "1 munkanap" 
"7142", "Vans", "Old Skool - Madder Brown/True White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool/7142", "https://coreshop.hu/pictures/termekek/7/1/4/2/1_large.jpg", "19990", "15740", "Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak. Legyél Te is boldog Old Skool tulajdonos! Felsőrész anyaga: orr és sarok rész velúr bőr, oldalsó panel textil", "ingyenes", "1 munkanap" 
"7141", "Vans", "Kyle Walker Pro - Navy/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/kyle-walker-pro/7141", "https://coreshop.hu/pictures/termekek/7/1/4/1/1_large.jpg", "20990", "16528", "", "ingyenes", "1 munkanap" 
"7140", "Vans", "Kyle Walker Pro - Black/Tibetan Red", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/kyle-walker-pro/7140", "https://coreshop.hu/pictures/termekek/7/1/4/0/1_large.jpg", "20990", "16528", "", "ingyenes", "1 munkanap" 
"7139", "Vans", "AV RapidWeld Pro - Ermine/Black", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/av-rapidweld-pro/7139", "https://coreshop.hu/pictures/termekek/7/1/3/9/1_large.jpg", "24990", "19677", "", "ingyenes", "1 munkanap" 
"7137", "Vans", "Style 112 Pro - Black/Black/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/style-112-pro/7137", "https://coreshop.hu/pictures/termekek/7/1/3/7/1_large.jpg", "17990", "14165", "", "ingyenes", "1 munkanap" 
"7136", "Vans", "Style 112 Mid Pro - (Dakota Roche) Black/Glazed Ginger", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/style-112-mid-pro/7136", "https://coreshop.hu/pictures/termekek/7/1/3/6/1_large.jpg", "20990", "16528", "", "ingyenes", "1 munkanap" 
"7135", "Vans", "Half Cab Pro - Winter Moss/Black", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/half-cab-pro/7135", "https://coreshop.hu/pictures/termekek/7/1/3/5/1_large.jpg", "21990", "17315", "", "ingyenes", "1 munkanap" 
